#{"t_start": 1756147829.2821352, "env_id": "None"}
r,l,t
-116.234105,14,5.350521
-101.827616,18,8.051416
-78.637935,19,11.066783
-86.651152,19,13.821144
-103.469331,16,16.955526
-98.599168,13,18.978654
-107.028905,14,24.066062
-116.12614,18,28.301474
-60.910579,16,31.991553
-95.966697,14,34.497237
-90.009005,20,37.339531
-96.12539,19,40.48753
-84.654825,18,44.099939
-91.898496,20,47.332561
-112.081142,15,50.317135
-80.507395,24,54.897331
-94.869845,16,57.574595
-103.391723,18,60.296455
-97.068649,18,64.231588
-103.613155,14,66.379061
-90.174707,19,69.024782
-93.572298,18,71.513003
-86.402267,22,74.664478
-102.141116,21,77.594578
-89.157331,18,80.686195
-91.083069,16,83.034031
-94.973355,18,87.072371
-100.539959,19,89.617159
-82.894662,19,92.588917
-86.571075,19,96.13369
-78.422376,18,98.887683
-110.21876,19,101.593783
-37.270043,24,105.067873
-102.329274,16,108.380136
-95.973578,20,111.153392
-107.172736,14,113.725502
-92.287129,21,117.471797
-109.297584,11,120.210266
-97.666337,15,124.275645
-92.896765,16,127.663786
-88.655288,18,130.342534
-98.313129,15,133.226694
-99.191752,14,135.298911
-91.174145,18,137.837767
-110.726056,14,139.918102
-81.581724,20,142.643491
-114.115646,13,144.604717
-86.911731,19,147.592588
-115.935602,12,150.477736
-79.980827,20,153.268
-89.87828,21,156.545329
-99.919529,17,159.08989
-77.850576,23,162.403709
-87.165249,18,164.80829
-93.564334,23,168.489461
-92.661728,17,170.701242
-73.37013,21,174.099992
-96.392761,17,176.715939
-105.276191,14,179.6888
-77.22384,23,182.562093
-95.224544,17,185.315096
-88.922815,19,188.468356
-101.058791,17,190.665953
-92.615991,17,193.511563
-113.156393,19,196.012118
-47.166515,18,198.778461
-102.969645,16,201.778788
-80.150472,23,205.046664
-106.804333,16,207.36975
-120.690697,15,209.572162
-105.49709,16,213.060809
-100.289962,17,216.347471
-103.816998,18,219.717303
-59.36584,20,222.42811
-105.65992,13,224.361968
-82.684815,20,227.02079
-89.149111,19,230.185597
-90.248171,16,232.766604
-83.85223,19,236.279916
-110.205886,16,238.617829
-115.935685,10,242.738663
-41.288979,24,246.342469
-92.338474,19,250.317326
-89.562418,19,252.769422
-102.663445,13,254.565617
-80.891474,23,257.622905
-83.482532,19,260.525719
-111.890838,16,262.758491
-88.289275,19,265.489168
-89.878047,18,267.808651
-105.969378,12,269.443441
-105.125197,16,272.169997
-74.124247,24,275.861792
-115.42957,11,277.898398
-97.935405,16,280.449232
-93.506796,16,282.570265
-85.985162,18,284.82071
-104.04937,14,287.120944
-79.468321,20,290.218332
-92.738409,22,293.437946
-100.852531,16,297.496904
-95.768123,18,300.454709
-113.712547,13,302.978594
-101.603656,17,306.235198
-81.403301,18,309.238427
-96.509104,15,311.496903
-111.546817,13,313.177553
-103.630489,20,315.511192
-95.197482,19,317.782052
-90.043277,17,319.964452
-110.019189,14,321.77546
-84.619591,21,324.294472
-95.677205,16,326.590344
-101.250884,16,328.691461
-82.02564,23,332.030694
-85.921182,19,335.324813
-92.166106,24,340.155224
-71.339222,24,344.580305
-103.504186,15,348.899832
-107.543031,17,353.147458
-97.003744,17,356.87067
-99.754072,19,359.681612
-100.947858,14,362.578199
-98.605883,15,364.962974
-91.642464,15,367.347401
-104.461184,22,370.740549
-85.928459,20,373.713139
-87.870341,20,376.248958
-110.317229,13,378.145808
-88.243317,18,380.728596
-103.741959,17,382.718965
-96.928922,17,384.815472
-90.995853,21,387.460778
-105.843717,18,389.573305
-89.699302,17,392.054276
-103.916589,14,395.046522
-107.112587,14,397.111638
-94.985489,18,399.813532
-95.113141,19,402.160856
-106.929329,12,403.748971
-98.931862,15,405.732622
-82.464131,22,408.747322
-98.925272,16,410.959772
-114.646007,11,412.964041
-91.83089,16,415.333111
-103.059277,16,417.484239
-120.351332,14,419.297119
-86.887677,20,422.684225
-98.943348,18,424.975106
-112.72764,14,428.524965
-93.39403,16,430.50171
-89.666222,18,432.75826
-96.382603,15,434.976183
-93.948228,17,437.044286
-99.167588,16,439.080486
-93.255369,19,442.188922
-91.513976,18,444.451645
-81.574708,18,447.34105
-88.348628,17,451.733027
-90.610693,17,454.54017
-91.721737,16,456.882751
-97.020909,23,461.164016
-101.096749,17,463.445264
-99.898113,16,466.62509
-114.266357,16,468.739438
-108.768218,11,472.176041
-78.267968,24,475.146677
-92.964482,18,477.409808
-94.784406,17,479.653648
-90.69471,19,482.864901
-90.74035,18,485.288428
-97.828972,15,487.801325
-117.772076,11,490.541819
-81.572521,18,493.377577
-100.864092,13,496.56807
-119.380623,13,499.416479
-89.156437,20,502.320637
-88.017619,21,505.203193
-103.614923,19,508.608051
-81.566419,23,511.904288
-83.48866,20,514.850169
-91.879966,16,517.395454
-89.731877,18,519.797952
-112.754595,11,521.394376
-94.422389,18,523.798677
-83.224549,19,526.196318
-110.365374,12,527.771628
-90.734521,20,530.394127
-88.95588,20,533.538734
-89.34442,18,535.900861
-103.816377,16,538.032577
-87.119843,18,540.237455
-90.337721,17,542.848048
-84.355216,21,545.378084
-107.802929,15,547.516998
-81.746156,19,549.908207
-100.392645,16,552.54666
-106.023183,14,555.476629
-95.309866,15,557.400501
-108.244098,14,559.935603
-109.414909,15,562.659298
-91.422125,18,565.839737
-103.540765,13,568.249886
-108.951189,10,572.052528
-87.693794,18,574.605472
-105.874618,16,576.649711
-87.703786,18,579.647236
-89.286508,17,582.264293
-93.504906,18,584.623059
-85.349853,17,586.76299
-100.100472,18,588.90642
-97.135998,17,591.092335
-110.773577,12,594.898842
-97.159653,18,597.612159
-104.453164,14,600.134938
-105.730101,16,602.169973
-93.920738,16,604.174
-103.391692,16,606.269231
-105.833331,12,608.783054
-97.678908,18,611.119809
-95.185999,17,613.390291
-95.749038,16,616.11964
-106.531639,15,618.171973
-95.521599,21,620.572699
-84.237785,20,623.516894
-98.664184,14,625.568864
-92.141193,18,628.022714
-88.333421,18,630.435918
-95.643448,19,632.965933
-85.881984,21,635.620526
-100.190403,15,637.768615
-100.776793,15,641.253034
-98.89982,15,643.302747
-101.256497,16,645.405049
-84.012925,19,648.000015
-91.118768,19,652.071402
-95.674836,18,654.864848
-100.996594,17,657.202875
-101.223287,16,659.407191
-88.212877,21,662.296158
-81.180447,22,665.169993
-107.446408,12,666.924667
-119.077167,8,670.190308
-83.057306,20,672.934422
-97.131511,14,675.408988
-105.961601,14,677.616234
-96.509755,16,680.467095
-78.799515,22,683.49718
-97.335882,16,686.121868
-111.942417,12,687.910772
-111.014397,16,690.060166
-103.558212,9,691.332668
-86.760611,16,693.505822
-96.856871,16,695.508451
-116.344211,10,697.641871
-49.839901,20,700.504789
-105.829215,15,702.694822
-90.501955,18,705.32386
-99.903577,18,709.830496
-91.433161,16,713.549752
-95.367291,18,715.939858
-93.925143,17,718.200518
-93.735139,17,721.152913
-87.937092,19,723.714775
-87.257362,21,726.468802
-105.625347,15,729.924976
-107.914137,13,733.828935
-101.568701,17,737.012219
-88.976604,18,739.568811
-103.479327,20,741.926784
-84.600177,20,744.525939
-112.384992,10,746.98006
-43.189247,21,750.483699
-72.512872,24,753.6355
-97.776286,17,756.050889
-103.321281,15,759.334935
-94.851136,16,762.256091
-91.356107,17,764.62181
-111.452135,17,766.763654
-101.474045,14,769.508302
-92.478725,17,772.000221
-108.5461,18,774.578853
-85.46611,12,776.315173
-105.211901,16,778.909081
-85.812878,18,781.204235
-86.837491,19,783.92627
-93.182734,15,785.893847
-90.320932,16,788.090897
-91.104064,20,790.747175
-101.531691,14,793.841387
-97.497461,10,795.281627
-79.822842,18,797.609187
-82.442452,14,799.581844
-76.532012,23,802.267323
-94.348764,17,804.471983
-83.790584,19,807.285703
-95.483724,17,810.891734
-89.289589,20,813.414321
-110.294729,12,815.064309
-85.600509,17,817.403906
-98.472087,16,820.262518
-95.491215,15,822.32004
-93.955476,21,824.777717
-99.974491,18,826.952644
-110.269565,18,829.201732
-97.301028,16,831.513176
-81.561987,19,834.44796
-94.967554,17,836.506892
-110.798378,14,838.592546
-56.423817,15,840.764935
-100.833487,20,843.353185
-95.266342,17,846.479482
-87.427883,20,849.049026
-110.997182,15,851.605995
-95.768842,19,854.383548
-111.637994,11,856.054656
-61.260004,19,858.445779
-99.916414,17,860.814185
-84.770951,23,863.565497
-117.460426,10,866.983137
-79.148396,20,869.591246
-92.711233,18,873.820736
-81.321379,19,876.116569
-93.020242,20,879.906575
-102.702978,18,882.659054
-100.431717,15,884.852401
-89.793445,17,887.035814
-71.175449,23,889.790165
-98.47802,15,891.9954
-105.664367,12,895.379704
