#{"t_start": 1776774591.3902214, "env_id": "None"}
r,l,t
-329.856336,14,17.82173
-264.153321,16,23.122289
-240.653192,18,29.138862
-268.594053,21,36.996308
-301.477905,14,43.298773
-200.36673,19,49.593183
-132.434421,12,53.391802
-292.174111,20,60.481788
-258.159305,16,66.513925
-336.362488,19,73.91524
-291.302227,12,79.430637
-259.254673,14,84.69363
-300.186974,15,90.050824
-254.767297,18,97.770524
-250.635442,15,103.37545
-357.058925,18,110.154027
-280.978702,15,118.018082
-274.125398,18,124.295443
-260.288193,13,129.454448
-274.003886,14,134.209258
-358.579046,14,138.502206
-272.525858,15,144.384079
-336.378968,21,151.180554
-248.604451,15,155.552688
-228.975986,15,160.423036
-267.80955,15,166.165977
-286.678624,19,174.245768
-275.442876,20,181.38017
-295.099705,10,185.44749
-317.84738,14,190.360615
-320.631937,17,196.384129
-267.494867,23,204.765198
-261.560027,20,211.39838
-295.672668,21,217.872073
-269.661557,18,223.344658
-232.886251,19,229.722862
-249.879215,21,237.3319
-286.462012,14,244.596774
-308.224096,14,250.343514
-247.883393,17,256.138704
-246.44654,18,264.840972
-305.106202,10,269.604484
-298.331946,11,273.456544
-297.652159,22,280.355613
-234.804736,16,286.624759
-282.704585,18,293.030318
-286.389615,18,299.589206
-293.690214,17,305.351021
-272.094576,22,314.317216
-297.095156,20,320.856505
-268.297022,17,326.957744
-331.594142,13,331.433081
-296.023341,21,338.944737
-266.890745,18,345.819321
-235.47903,15,350.235735
-282.166713,21,357.454371
-301.144667,16,362.527777
-281.525668,18,369.461751
-258.368478,19,376.73102
-286.858014,17,383.019528
-271.046109,19,389.43924
-270.939995,17,395.142124
-321.943,14,399.610848
-306.787574,17,405.285486
-318.424082,17,412.019827
-321.310837,19,417.799245
-312.95121,20,423.865358
-291.641843,11,431.761156
-328.689054,19,438.26143
-286.683688,19,445.74927
-258.389076,20,451.594748
-198.50521,15,456.244092
-309.94555,15,460.825942
-318.617662,15,466.364346
-219.2807,15,471.605597
-309.429225,20,480.313187
-354.330266,17,486.526607
-329.365622,19,493.483939
-287.716025,17,499.229698
-264.44743,14,503.830485
-219.678262,22,513.180654
-199.944898,13,519.307858
-247.415154,19,526.336997
-243.218715,20,532.967372
-159.560396,15,537.580943
-251.809008,13,542.657995
-338.116282,13,547.575392
-256.5488,16,553.273102
-260.470967,15,557.808658
-257.423838,10,561.725447
-284.773491,9,568.191864
-279.351025,17,576.587949
-251.914575,18,582.897198
-293.963466,14,587.893011
-213.635955,12,591.686231
-322.544866,18,597.141749
-357.072593,15,602.767811
-318.795151,13,608.176419
-272.484786,16,614.064407
-264.865553,20,621.630078
-273.360927,22,631.06906
-248.077083,15,635.61123
-282.826037,15,642.529009
-313.94608,18,648.786281
-273.533081,13,653.584362
-309.573824,21,661.114241
-289.596627,19,670.020121
-255.194939,19,676.071325
-236.718559,20,685.107678
-230.90254,17,691.638079
-290.849453,15,697.939758
-283.310214,21,705.086272
-238.068674,21,713.007639
-296.627637,17,719.397215
-259.89116,17,725.062635
-263.817665,17,731.508357
-327.129576,17,738.001856
-295.053344,22,744.909614
-255.847445,20,751.223247
-145.234438,8,755.372524
-155.46521,14,760.68899
-293.213678,22,767.415478
-227.91353,14,771.796418
-238.716055,16,777.132542
-418.826078,15,783.039373
-319.152508,17,789.083347
-301.798452,15,795.709754
-247.556323,17,800.854264
-294.87726,22,808.74085
-304.500244,15,813.158022
-321.39212,18,821.46443
-319.889931,17,826.739858
-265.457078,19,833.635364
-305.734664,17,841.017213
-251.458928,22,848.769964
-295.466135,15,855.488872
-272.81985,18,861.485094
-272.236572,18,866.736383
-258.374891,13,871.149657
-258.930701,18,879.016678
-252.84465,12,883.555219
-273.138019,17,889.482295
-269.55422,19,895.907295
-214.672388,18,901.626121
-261.065904,16,906.598454
-262.022585,14,911.259799
-191.312553,17,917.883366
-199.250932,14,922.898514
-177.105139,13,927.558306
-230.164862,20,934.72847
-228.563024,17,940.307006
-265.242926,21,946.829189
-269.472045,16,952.70378
-320.502661,16,960.819588
-232.925503,14,965.340441
-255.680848,15,970.672971
-264.55175,19,976.900678
-300.784701,15,982.133148
-353.529537,16,988.751701
-231.655341,15,994.468955
-224.326847,18,1000.468573
-245.522649,14,1006.18341
-245.579776,17,1012.339662
-242.538781,21,1019.587708
-426.149724,20,1026.265526
-287.260293,16,1031.832215
-260.535363,15,1037.793642
-245.837392,17,1044.12335
-286.658858,13,1048.373002
-290.879976,12,1052.320712
-302.872737,18,1057.571103
-328.807788,16,1062.769791
-311.706181,16,1067.977855
-304.125875,17,1074.26783
-221.724028,24,1082.195953
-289.746283,19,1089.37844
-249.363066,15,1095.211227
-224.718162,17,1101.75498
-302.144285,17,1107.861699
-361.802536,22,1115.138931
-315.709631,13,1120.923557
-303.705433,17,1126.179257
-228.220457,17,1133.200843
-247.097707,15,1140.08606
-302.766228,16,1146.723612
-254.105,15,1152.437601
-264.044126,17,1157.918452
-300.700988,15,1163.746819
-267.734854,13,1168.619941
-383.776599,18,1175.64617
-283.851419,22,1182.494495
-270.110127,11,1187.946395
-291.145202,15,1193.046947
-331.993554,19,1199.150518
-283.817138,19,1206.630937
-198.448053,22,1214.715806
-184.539049,14,1220.050453
-282.864009,18,1225.974683
-276.777288,20,1233.155306
-287.540556,12,1237.804147
-278.560323,13,1244.131848
-262.415693,16,1251.962813
-304.701186,18,1259.140374
-279.091435,14,1263.908574
-308.581382,19,1269.803674
-136.028666,9,1272.732149
-276.005258,15,1278.560389
-324.639886,23,1285.501045
-370.713364,15,1292.322521
-198.044246,16,1297.012594
-355.866752,20,1303.558003
-228.802713,14,1308.215544
-302.15732,19,1315.409263
-309.600903,18,1321.373178
-262.708544,16,1327.753185
-260.269803,14,1332.502164
-293.459998,11,1336.015931
-301.561534,12,1341.652523
-309.599266,13,1348.700667
-282.250428,11,1351.782615
-379.462901,16,1358.101711
-312.043839,14,1362.434412
-173.331631,17,1368.996526
-304.028163,16,1374.067043
-311.986754,13,1378.292898
-312.009036,13,1382.703727
-309.689807,22,1391.314498
-304.14733,16,1397.413581
-271.917594,15,1401.96288
-321.67427,23,1409.320473
-276.495744,17,1414.897229
-287.229644,20,1424.263564
-261.392899,19,1430.225108
-292.238329,18,1436.580111
-215.488238,11,1440.318318
-296.909941,19,1446.644258
-286.754556,16,1452.297097
-263.387834,15,1458.814267
-242.682387,16,1464.144558
-190.45317,17,1470.01955
-190.060832,20,1476.849444
-246.729214,19,1483.058806
-262.055948,18,1488.694176
-326.080814,20,1495.534636
-311.35072,16,1502.478374
-241.924938,20,1509.603697
-135.222702,14,1514.418255
-238.512308,15,1519.318055
-312.362429,13,1523.212585
-206.782137,12,1528.036466
-333.718269,18,1534.794014
-285.348791,18,1541.468521
-209.693186,20,1550.445467
-253.505741,22,1559.920716
-326.203044,10,1562.912888
-226.061055,20,1572.885518
-259.071811,20,1583.224762
-259.465898,13,1589.222331
-289.944319,19,1596.113987
-242.250913,21,1603.526669
-311.342118,15,1608.110838
-237.263483,22,1615.591001
-278.743505,19,1624.502877
-308.537837,19,1630.731892
-268.566398,14,1635.658914
-272.456651,22,1642.960005
-335.461402,19,1648.944799
-297.959729,23,1658.126087
-338.57501,14,1663.689461
-318.309297,14,1669.243963
-378.374644,22,1677.792735
-238.577149,14,1682.983314
-349.907628,16,1690.052887
-256.477839,18,1696.135603
-248.70879,15,1703.117957
-217.025801,19,1710.579585
-309.583482,17,1716.437182
-289.895997,19,1722.845693
-244.45136,13,1729.083869
-252.639612,17,1735.184031
-297.050373,18,1742.901505
-278.381984,17,1749.525747
-297.45255,24,1759.339692
-259.147175,23,1768.573849
-258.895053,14,1774.456657
-342.025101,19,1781.426314
-245.86285,20,1788.312721
-315.529043,14,1794.430442
-236.540201,18,1801.540756
-278.84157,15,1807.334597
-344.122039,20,1814.436147
-279.052346,18,1820.171719
-259.948279,14,1825.639689
-245.77563,19,1832.743553
-238.645498,18,1838.726923
-289.699953,17,1845.184867
-250.773764,19,1850.824926
-313.107671,12,1854.841854
-331.114971,17,1862.196989
-332.564805,20,1870.785218
-265.825669,12,1875.48039
-289.13766,20,1883.057766
-303.599074,17,1889.338832
-260.672487,14,1893.864583
-264.915957,14,1898.821886
-281.19638,15,1905.121003
-328.356621,21,1911.881546
-201.736068,18,1917.864162
-262.118354,19,1926.945511
-377.163075,23,1934.919127
-324.095532,15,1938.852576
-323.513287,14,1945.418581
-271.688615,15,1951.209722
-248.710781,16,1957.16795
-305.403173,17,1962.586211
-304.67073,19,1968.415673
-227.928181,11,1971.862116
-282.090823,9,1976.573494
-293.810919,17,1982.470588
-359.237195,22,1990.656163
-327.601067,17,1995.59995
-168.799526,19,2002.935116
-268.289638,13,2008.265161
-173.938236,14,2013.819723
-295.58961,17,2020.270615
-297.49874,20,2026.814273
-428.723277,21,2034.848875
-220.661727,12,2040.048544
-258.011312,20,2046.994927
-297.37828,18,2053.238042
-337.725662,24,2061.023423
-410.7491,19,2067.130095
-309.590863,18,2074.790436
-284.55872,14,2081.310101
-304.668036,15,2086.065778
-239.351444,18,2091.802747
-283.001777,19,2098.364505
-453.991461,23,2106.47711
-261.449221,19,2114.969738
-269.713898,17,2120.571903
-296.596492,17,2127.055515
-224.426162,16,2132.444131
-307.392331,10,2139.764234
-190.171304,19,2145.334243
-224.15089,17,2150.85075
-251.136855,20,2157.086463
-243.909807,17,2162.357905
-270.3579,12,2166.884962
-293.579422,24,2177.290766
-246.780851,15,2181.907552
-173.691021,19,2188.418442
-281.38694,11,2193.873645
-232.762719,17,2200.03384
-304.144974,19,2208.464648
-271.966597,21,2216.091334
-292.910904,19,2221.674949
-307.52183,14,2228.326332
-259.459558,12,2233.265936
-256.550979,20,2239.430227
-258.45173,13,2243.980462
-232.857305,18,2249.663033
-295.080878,20,2256.63815
-235.244678,18,2262.412093
-343.425857,12,2266.757074
-251.649665,17,2272.122603
-272.166631,17,2277.776054
-283.076453,18,2284.294519
-257.013107,19,2291.011494
-195.125775,10,2294.352644
-251.996831,16,2299.324471
-343.039889,15,2303.945373
-342.695766,17,2312.318873
-341.274061,15,2318.480173
-222.524524,16,2323.617378
-345.342225,17,2328.976549
-362.61607,14,2336.208208
-267.970605,22,2343.184115
-353.12495,14,2349.164123
-255.317093,15,2354.611837
-250.685513,20,2362.129652
-285.065589,19,2368.758622
-187.164207,9,2372.285765
-247.791673,20,2378.995431
-288.172568,17,2386.120773
-221.84278,13,2392.76821
-259.210103,19,2399.458125
-247.892427,20,2407.672834
-319.571726,16,2413.705052
-292.493579,21,2420.739334
-261.061878,19,2427.948467
-231.884271,15,2434.397419
-385.672788,20,2441.828238
-228.664054,15,2449.861572
-266.321409,15,2456.487113
-318.955288,16,2461.479436
-316.670506,12,2465.942065
-301.955757,20,2472.784454
-260.520314,19,2479.284055
-241.750167,17,2487.167018
-307.291306,18,2492.3749
-186.489021,17,2497.543208
-272.822573,18,2503.827262
-285.413245,18,2509.934075
-290.84294,15,2515.862388
-234.455707,12,2520.388957
-198.264079,20,2528.396762
-183.870144,17,2534.454253
-246.919396,19,2541.742245
-239.199524,11,2547.705307
-272.838258,19,2553.799448
-231.493106,18,2559.502996
-203.576881,15,2565.738878
-244.551341,12,2571.247052
-289.072619,16,2576.926285
-281.899311,14,2581.954496
-300.933183,20,2588.365242
-355.262525,16,2595.382651
-282.935456,18,2601.565711
-335.825636,24,2611.825747
-238.075833,17,2620.126614
-256.02377,12,2624.665425
-234.666646,14,2629.759207
-299.64666,14,2634.553943
-260.922745,18,2641.698336
-236.1284,20,2647.819006
-298.984844,12,2653.055823
-305.997424,16,2659.449075
-286.886648,22,2666.895794
-164.777322,17,2673.225106
-170.199106,10,2676.297899
-264.146322,11,2680.839068
-233.043809,18,2687.29936
-260.328944,10,2692.351148
-239.355044,12,2697.451787
-229.97782,21,2705.43201
-314.025047,17,2711.37775
-233.700796,16,2717.833691
-347.460389,15,2724.957896
-255.160566,18,2731.118015
-387.573676,17,2736.278405
-243.05758,17,2742.023154
-275.033429,19,2748.339791
-323.133727,19,2754.461583
-303.799669,17,2760.79882
-237.212621,16,2768.780926
-221.37026,19,2775.606474
-200.981427,14,2780.435295
-171.929594,10,2784.317108
-380.747852,14,2788.319912
-271.656396,17,2793.90224
-186.128332,19,2800.752897
-241.216211,20,2808.696743
-299.186988,19,2814.767218
-265.417516,13,2820.520007
-277.341571,14,2826.359463
-197.264919,23,2833.687419
-292.94341,22,2845.23074
-257.356466,24,2853.299933
-203.098694,16,2858.737291
-265.864009,19,2864.744256
-261.236167,19,2871.595712
-314.713289,15,2877.272585
-292.511542,14,2881.938025
-276.862996,9,2887.56721
-291.512999,15,2893.571438
-231.386394,13,2898.475884
-295.959182,23,2905.966388
-259.647258,15,2911.911943
-145.334326,14,2917.188222
-247.264746,22,2924.947766
-213.011205,18,2931.427835
-289.216302,16,2937.25705
-266.473663,20,2943.878501
-253.54875,18,2951.259798
-199.023633,17,2957.006392
-263.408747,20,2963.002038
-345.800212,18,2968.647598
-287.749227,12,2972.578245
-222.002577,23,2981.530252
-291.493017,16,2986.821563
-281.832705,9,2989.798681
-264.401735,23,2998.044732
-289.676383,17,3003.49465
-212.095685,18,3008.964361
-296.446018,16,3014.640823
-264.591204,18,3020.228666
-256.884107,17,3025.859158
-236.860397,19,3031.782347
-295.560648,9,3034.802154
-296.181994,15,3040.429596
-182.997079,16,3045.58995
-400.092811,22,3056.490982
-253.718728,16,3062.6457
-297.142579,17,3068.183218
-285.40489,19,3074.193575
-218.919667,18,3083.405421
-246.008157,16,3157.596244
-278.383778,18,3163.780306
-233.676314,18,3171.63198
-237.283516,16,3177.404825
-203.580195,16,3182.79197
-262.829302,12,3186.574439
-238.751908,18,3192.942228
-387.56162,22,3201.938005
-271.337966,16,3208.015915
-292.582541,12,3213.971297
-237.644708,18,3219.823464
-286.817233,19,3226.829136
-335.497189,17,3232.695851
-281.415759,12,3237.500233
-257.551675,14,3245.376295
-149.831472,19,3253.617171
-248.972392,22,3261.445023
-271.416455,9,3264.845066
-301.388606,18,3271.144799
-220.248043,14,3275.773868
-217.201384,19,3282.404068
-285.646504,20,3289.324105
-302.741785,8,3293.175534
-257.839987,17,3299.250024
-267.482801,19,3307.396653
-257.652054,21,3315.031438
-335.249825,22,3322.15004
-252.920679,12,3326.001893
-248.735398,15,3332.750073
-254.868738,16,3338.211513
-236.323501,18,3344.980214
-233.30367,21,3352.302111
-358.439856,21,3359.565059
-231.651266,17,3366.798679
-338.968235,18,3374.202192
-363.721538,20,3381.512267
-297.497022,19,3390.082675
-264.121485,16,3397.326214
-303.491401,20,3405.045392
-307.132548,22,3412.900653
-252.080526,14,3417.53678
-286.810531,12,3423.935022
-323.625587,14,3428.853758
-298.722885,17,3434.636135
-402.360349,10,3437.946386
-289.529285,11,3442.878895
-272.078141,20,3449.718283
-443.03528,16,3458.114675
-269.236744,14,3462.856699
-233.222475,21,3470.375905
-251.742734,15,3475.712907
-256.951242,15,3480.902357
-196.369028,16,3486.413476
-239.986708,17,3492.654091
-247.576415,18,3499.07861
-271.745463,21,3505.755919
-245.668882,17,3512.533658
-239.011667,18,3521.179275
-383.151784,19,3528.106846
-248.173492,18,3533.995799
-292.870481,19,3540.761006
-294.167701,12,3545.14542
-266.926755,17,3551.946965
-260.686274,17,3557.290145
-294.843248,17,3563.670524
-296.727343,18,3569.843153
-224.223336,16,3575.321526
-281.239726,14,3581.737053
-351.466431,14,3586.683686
-167.528483,15,3592.517585
-400.536655,22,3601.084415
-261.890374,20,3610.83219
-274.953562,17,3617.964427
-284.466901,16,3624.091797
-214.751571,14,3630.745481
-302.043738,17,3637.043187
-299.116086,12,3640.807246
-219.352954,12,3645.918856
-266.723126,15,3651.355807
-254.777562,21,3662.541309
-370.532243,17,3669.033191
-250.700447,18,3678.370251
-188.279901,17,3684.212548
-258.795588,12,3689.534149
-290.810455,23,3697.270414
-345.37091,19,3703.640763
-274.268745,18,3709.527014
-222.065341,20,3716.232878
-282.6244,19,3723.858596
-328.486579,19,3730.667358
-287.900379,14,3736.441745
-302.700524,16,3742.346983
-378.015412,16,3748.916565
-366.227467,21,3756.462985
-285.510392,17,3763.174225
-222.18482,20,3769.703681
-281.706124,17,3778.213077
-257.111839,17,3784.012955
-283.437161,17,3790.636833
-251.861588,17,3800.416117
-233.136126,19,3807.840512
-304.74379,19,3815.396669
-258.566626,18,3821.732433
-280.977174,19,3830.877943
-363.347814,16,3837.73072
-258.846844,13,3843.00123
-329.89905,20,3852.844466
-304.44049,17,3860.712158
-239.496821,17,3867.005744
-386.282995,16,3873.45632
-355.09134,17,3881.925656
-244.926544,15,3886.874579
-299.436783,15,3892.609658
-268.969507,21,3900.385854
-274.659929,20,3908.818501
-299.960802,22,3918.061975
-221.789272,17,3924.526463
-289.35938,18,3932.779495
-354.360437,15,3937.855116
-183.577366,21,3947.169928
-260.756367,23,3958.390442
-249.354583,17,3963.922435
-232.702174,18,3970.111211
-182.982505,16,3975.488817
-217.142276,19,3981.973071
-265.194524,24,3990.23182
-285.823124,17,3996.140897
-232.956382,16,4002.666861
-295.763807,18,4010.179558
-285.158965,17,4018.760149
-210.955282,20,4026.477591
-268.795736,15,4032.12382
-255.303051,19,4039.023815
-262.292225,13,4043.717122
-304.6481,10,4046.972847
-445.032123,21,4054.307437
-279.317701,18,4060.865465
-315.920371,17,4066.996734
-244.869582,17,4072.889408
-275.948175,16,4078.173664
-253.969784,17,4084.899265
-273.840078,19,4092.724901
-295.803762,14,4098.197463
-344.394095,22,4105.270753
-262.685932,19,4113.637885
-271.326587,16,4119.402027
-259.415132,17,4125.772314
-220.659108,20,4132.28388
-259.68073,20,4140.447538
-329.828073,19,4146.776929
-266.846313,14,4152.24291
-324.789838,15,4159.18096
-285.149499,15,4164.836289
-253.364545,15,4170.16905
-357.483505,12,4174.931492
-260.614805,15,4182.843301
-303.135929,19,4189.062386
-265.23123,21,4198.311455
-247.965331,18,4204.984806
-193.438867,17,4210.941089
-229.549818,16,4217.428724
-260.653219,15,4223.29472
-215.061806,19,4229.902801
-259.040056,11,4234.529065
-258.928477,17,4240.822027
-248.341154,17,4246.613428
-327.875952,18,4255.082753
-179.537938,22,4262.760986
-230.396975,18,4270.631963
-237.027759,14,4276.328022
-321.089256,16,4283.609142
-249.626407,16,4290.069633
-222.555116,17,4295.810931
-312.137857,19,4303.323365
-312.787218,22,4310.170743
-300.584032,21,4318.357917
-211.781286,8,4321.42941
-241.699175,19,4328.051449
-239.520185,14,4333.441279
-332.688399,20,4341.956602
-247.357708,21,4349.216784
-277.95859,13,4353.74862
-245.669412,17,4359.566559
-243.819436,19,4365.958761
-255.458637,20,4373.412318
-255.408678,15,4379.392577
-245.281532,17,4385.674219
-268.11788,19,4392.955981
-278.618636,15,4399.505685
-272.04082,20,4406.239954
-297.802219,17,4413.233338
-285.298299,17,4418.763288
-224.580338,15,4423.804082
-169.092785,12,4428.19814
-292.034421,13,4435.254388
-229.410041,15,4441.754318
-324.794991,14,4448.169063
-241.197278,15,4454.569383
-160.700392,15,4460.193191
-264.599968,17,4466.496766
-351.257893,18,4473.52068
-379.248384,20,4481.554965
-272.753473,18,4488.463202
-297.530125,15,4494.296288
-304.352158,22,4502.801913
-293.395783,18,4508.833264
-284.980303,16,4515.785048
-253.842993,14,4523.386332
-249.120786,20,4531.050691
-247.619867,17,4538.095051
-277.391239,11,4543.468556
-209.887513,19,4550.037794
-313.529489,18,4556.583328
-293.58453,16,4562.309946
-323.274204,11,4566.443731
-294.615131,16,4574.334141
-277.214455,19,4581.081153
-220.705836,15,4586.337179
-265.633278,16,4593.311273
-297.37652,18,4600.87208
-286.728647,17,4607.44057
-240.799708,17,4613.417342
-233.686889,22,4622.507853
-229.917904,22,4630.57781
-355.164978,16,4636.785892
-183.515885,22,4644.772156
-244.669155,19,4651.169329
-357.789587,14,4657.638894
-325.287027,16,4663.26537
-166.54259,19,4668.980771
-313.500693,15,4674.191298
-241.811866,19,4683.145577
-204.83724,22,4692.085272
-244.389882,16,4697.437336
-227.487756,19,4704.063578
-242.344071,19,4710.829012
-229.800053,17,4719.072296
-331.786203,22,4725.875343
-254.678584,14,4734.673181
-279.724456,22,4742.957279
-301.188577,12,4749.015543
-304.03995,16,4754.540434
-239.021689,19,4761.135203
-294.676507,17,4769.402579
-285.971287,14,4774.938917
-251.038114,19,4782.614274
-299.641906,16,4788.860928
-244.354376,18,4795.112667
-221.402091,19,4801.689455
-268.427588,17,4809.549341
-272.728026,16,4816.827204
-248.494942,18,4823.055268
-194.065958,23,4830.785851
-269.951249,14,4835.335167
-318.119672,22,4842.903404
-300.514807,16,4848.542601
-229.234797,21,4857.31621
-289.096446,15,4862.312979
-254.786571,19,4869.245193
-213.526058,17,4875.326768
-255.023611,20,4882.737274
-264.253036,13,4887.966231
-293.381832,19,4895.542846
-292.915708,23,4904.737506
-255.770984,11,4910.545963
-274.814935,20,4918.819995
-276.417647,16,4924.969527
-273.331354,19,4933.542661
-291.898502,19,4940.51893
-230.372123,17,4946.269694
-280.16656,22,4954.857096
-339.50808,20,4962.270877
-314.15847,12,4968.099499
-266.55699,17,4973.82492
-257.866171,15,4979.640626
-278.032533,15,4984.798615
-365.575211,18,4990.885561
-220.923145,17,4997.443218
-389.50402,19,5005.427375
-279.303742,18,5013.311422
-244.568131,16,5018.613031
-263.125014,12,5023.385224
-242.110307,17,5029.85523
-209.38453,21,5036.811052
-238.189767,18,5044.354884
-194.895448,10,5048.085272
-204.093583,16,5053.924968
-275.401438,14,5058.788026
-312.602535,21,5066.378053
-288.08228,14,5071.927404
-320.403746,16,5077.871119
-393.194015,20,5085.348376
-281.178366,9,5091.19079
-261.461621,13,5095.769805
-238.285828,15,5102.214196
-282.927362,19,5109.805937
-254.751193,16,5115.708655
-308.750399,11,5119.608047
-257.80329,15,5126.826499
-251.128188,18,5134.461483
-279.664288,10,5139.117011
-242.14183,15,5143.968571
-274.965585,19,5151.954759
-157.108659,14,5158.94366
-246.689721,21,5166.574965
-307.847818,24,5175.652585
-351.794894,20,5183.901963
-292.424901,14,5189.288042
-240.554783,17,5195.731347
-315.594612,10,5198.822136
-288.148034,18,5204.908158
-354.241996,11,5208.610581
-250.440519,15,5214.184067
-253.715321,17,5221.592451
-283.853103,16,5228.113739
-218.425181,18,5234.35435
-246.71734,14,5241.690407
-224.282685,18,5248.296221
-253.313301,17,5254.225956
-204.26928,17,5261.377614
-291.175469,18,5267.856375
-253.316589,17,5273.911767
-253.124897,17,5280.84081
-269.827059,20,5288.381027
-207.12523,14,5293.091895
-257.69917,15,5298.955615
-175.194401,28,5308.25985
-291.575646,13,5313.077557
-304.547933,19,5320.289773
-267.593903,23,5331.351858
-336.067579,17,5337.5023
-284.925236,22,5346.235216
-283.549418,20,5353.254667
-291.343276,15,5358.426569
-384.630195,15,5364.935861
-273.342177,13,5371.869633
-219.348562,16,5377.742548
-211.881329,21,5384.786767
-244.877826,16,5391.508946
-224.951397,22,5398.743029
-252.99167,18,5405.061715
-303.130615,14,5409.812149
